ID,UniCode,FounderCode,DateOfBirth,Sex,BirthGroup,MomUnicode,CurrentGroup,BirthSeason,Status,DateOfDeath,DateOfRemove,AgeOfDelivery,AgeOfDOD,AgeOfRemove,SireUniCode,DamUniCode
141,J-982,Q1076,5/5/1959 0:00:00,M,U,Q1076,rc,1959,Removed,,12/9/1968 0:00:00,3.33,,9.58,,
142,J-992,Q1076,5/11/1960 0:00:00,F,C,Q1076,rc,1960,Removed,,3/26/1968 0:00:00,4.33,,7.83,,
143,K-073,Q1076,5/29/1961 0:00:00,F,C,Q1076,rc,1961,Removed,,2/6/1968 0:00:00,5.33,,6.75,,
144,K-600,Q1076,4/25/1962 0:00:00,M,C,Q1076,r,1962,Removed,,10/10/1963 0:00:00,6.25,,1.50,,
145,K-849,Q1076,6/4/1963 0:00:00,F,C,Q1076,rc,1963,Removed,,2/5/1968 0:00:00,7.41,,4.66,,
146,H-119,Q1076,5/2/1964 0:00:00,F,C,Q1076,rc,1964,Removed,,2/5/1968 0:00:00,8.33,,3.75,,
147,G-527,Q1076,3/23/1965 0:00:00,M,C,Q1076,du**,1965,DEAD,2/20/1974 0:00:00,,9.16,8.91,,,
148,I-337,Q1076,2/25/1966 0:00:00,F,C,Q1076,rc,1966,Removed,,12/9/1966 0:00:00,10.08,,0.83,,
149,F-417,Q1076,3/2/1967 0:00:00,F,C,Q1076,rc**,1967,Removed,,12/2/1968 0:00:00,11.16,,1.75,,
150,I-412,Q1076,2/24/1968 0:00:00,U,C,Q1076,du,1968,DEAD,3/12/1968 0:00:00,,12.08,0.08,,,
151,G-461,Q1074,2/26/1958 0:00:00,F,U,Q1074,du,1958,DEAD,10/15/1967 0:00:00,,4.08,9.66,,,
152,J-983,Q1074,4/7/1959 0:00:00,M,U,Q1074,dm,1959,DEAD,1/1/1964 0:00:00,,5.25,4.75,,,
153,K-580,Q1074,4/5/1960 0:00:00,M,E,Q1074,rk**,1960,Removed,,10/3/1971 0:00:00,6.25,,11.50,,
154,K-065,Q1074,3/18/1961 0:00:00,M,E,Q1074,du,1961,DEAD,8/18/1969 0:00:00,,7.16,8.41,,,
155,K-607,Q1074,4/25/1962 0:00:00,F,E,Q1074,dh**,1962,DEAD,2/6/1968 0:00:00,,8.25,5.83,,,
156,I-284,Q1074,3/15/1963 0:00:00,F,E,Q1074,dm,1963,DEAD,4/6/1964 0:00:00,,9.16,1.08,,,
157,K-717,Q1074,4/17/1964 0:00:00,F,E,Q1074,rc,1964,Removed,,8/18/1971 0:00:00,10.25,,7.33,,
158,H-188,Q1074,4/6/1965 0:00:00,M,E,Q1074,rk**,1965,Removed,,10/4/1971 0:00:00,11.25,,6.50,,
159,K-642,Q1074,3/15/1966 0:00:00,M,E,Q1074,rs,1966,Removed,,8/28/1972 0:00:00,12.16,,6.41,,
160,K-829,Q1074,3/7/1967 0:00:00,M,E,Q1074,rs,1967,Removed,,7/20/1972 0:00:00,13.16,,5.33,,
