UniCode,FounderCode,DateOfBirth,Sex,BirthGroup,MomUnicode,CurrentGroup,BirthSeason,Status,DateOfDeath,DateOfRemove,AgeOfDelivery,AgeOfDOD,AgeOfRemove,SireUniCode,DamUniCode
K-342,Q1071,1956/06/26,M,U,Q1071,dm,1956,DEAD,1957/08/31,,18.41,1.16,,,
G-566,Q1071,1959/03/01,F,U,Q1071,d,1959,DEAD,1959/03/26,,21.16,0.00,,,
G-565,Q1071,1959/03/01,F,U,Q1071,r,1959,Removed,,1959/05/21,21.16,,0.16,,
J-778,Q1069,1960/03/04,M,G,Q1069,r,1960,Removed,,1961/09/12,5.16,,1.50,,
I-252,Q1069,1961/03/22,M,H,Q1069,r,1961,Removed,,1962/04/24,6.16,,1.08,,
K-222,Q1069,1962/04/04,M,H,Q1069,rs**,1962,Removed,,1972/04/07,7.25,,10.00,,
I-283,Q1069,1963/03/08,M,H,Q1069,dm,1963,DEAD,1964/04/03,,8.16,1.08,,,
K-937,Q1069,1964/02/15,M,H,Q1069,rs**,1964,Removed,,1984/03/01,9.08,,20.08,,
K-158,Q1069,1966/02/05,F,H,Q1069,rs,1966,Removed,,1972/08/01,11.08,,6.50,,
F-663,Q1069,1967/03/04,F,H,Q1069,rs,1967,Removed,,1972/08/01,12.16,,5.41,,
G-571,Q1068,1957/04/18,F,U,Q1068,d,1957,DEAD,1971/04/23,,6.25,14.00,,,
G-572,Q1068,1958/04/24,F,U,Q1068,du**,1958,DEAD,1968/04/01,,7.25,10.00,,,
G-890,Q1068,1959/04/15,M,U,Q1068,du,1959,DEAD,1965/10/11,,8.25,6.50,,,
I-239,Q1068,1960/04/18,F,A,Q1068,r,1960,Removed,,1960/05/30,9.25,,0.08,,
K-395,Q1067,1957/01/01,F,U,Q1067,du,1957,DEAD,1967/06/10,,6.00,10.41,,,
G-581,Q1067,1959/02/01,M,U,Q1067,d,1959,DEAD,1964/02/25,,8.08,5.00,,,
H-222,Q1067,1960/03/05,F,A,Q1067,d,1960,DEAD,1961/11/01,,9.16,1.66,,,
J-885,Q1067,1961/02/18,M,A,Q1067,rs,1961,Removed,,1971/08/06,10.08,,10.50,,
K-567,Q1067,1962/03/19,F,A,Q1067,du**,1962,DEAD,1977/02/21,,11.16,14.91,,,
I-282,Q1067,1963/05/03,M,A,Q1067,d**,1963,DEAD,1963/10/27,,12.33,0.41,,,
K-722,Q1067,1964/04/24,M,A,Q1067,nJ,1964,Removed,,1965/01/01,13.25,,0.75,,
G-954,Q1067,1965/04/09,M,J,Q1067,dz**,1965,DEAD,1973/10/10,,14.25,8.50,,,
K-548,Q1067,1966/05/12,F,J,Q1067,dm,1966,DEAD,1968/06/24,,15.33,2.08,,,
G-122,Q1067,1968/02/14,M,J,Q1067,rs**,1968,Removed,,1985/01/15,17.08,,16.91,,
G-458,Q1066,1957/01/01,F,U,Q1066,dz***,1957,DEAD,1977/03/07,,6.00,20.16,,,
K-705,Q1066,1964/02/05,F,I,Q1066,du**,1964,DEAD,1973/02/10,,13.08,9.00,,,
K-341,Q1065,1956/01/01,F,U,Q1065,dm,1956,DEAD,1964/09/24,,5.00,8.66,,,
I-224,Q1065,1957/05/21,U,U,Q1065,dm,1957,DEAD,1957/07/23,,6.33,0.16,,,
G-467,Q1065,1959/02/10,F,U,Q1065,du,1959,DEAD,1972/07/14,,8.08,13.41,,,
I-238,Q1065,1960/03/02,U,A,Q1065,d,1960,DEAD,1960/03/02,,9.16,0.00,,,
J-893,Q1065,1961/02/21,F,A,Q1065,d,1961,DEAD,1964/10/09,,10.08,3.66,,,
K-800,Q1065,1962/04/20,M,A,Q1065,r,1962,Removed,,1963/10/10,11.25,,1.50,,
K-818,Q1065,1963/03/21,F,A,Q1065,rb,1963,Removed,,1971/11/05,12.16,,8.66,,
G-905,Q1065,1965/01/15,M,A,Q1065,rc,1965,Removed,,1968/12/02,14.00,,3.91,,
G-004,Q1065,1966/02/18,F,A,Q1065,du,1966,DEAD,1971/03/16,,15.08,5.08,,,
F-896,Q1065,1967/07/01,M,A,Q1065,dm,1967,DEAD,1969/03/24,,16.50,1.66,,,
G-353,Q1065,1968/06/04,F,A,Q1065,rs**,1968,Removed,,1972/08/14,17.41,,4.16,,
G-674,Q1064,1959/04/05,M,U,Q1064,rs**,1959,Removed,,1972/02/10,4.25,,12.83,,
I-237,Q1064,1960/04/24,F,C,Q1064,d,1960,DEAD,1961/01/04,,5.25,0.75,,,
I-264,Q1064,1962/04/03,U,C,Q1064,d,1962,DEAD,1962/04/03,,7.25,0.00,,,
K-835,Q1064,1963/01/27,F,C,Q1064,rc,1963,Removed,,1968/12/16,8.00,,5.91,,
H-110,Q1064,1964/03/09,F,C,Q1064,rc,1964,Removed,,1968/12/16,9.16,,4.75,,
G-639,Q1064,1965/03/10,F,C,Q1064,rc,1965,Removed,,1968/12/16,10.16,,3.75,,
